occupancy_code,description
967,"LOFT BUILDING/COMMERCIAL"
968,"WAREHOUSE"
969,"BOAT REPAIR/STORAGE"
972,"CORRECTIONAL BLDG"
973,"ADMINISTRATIVE BLDG"
974,"FIRE STATION"
975,"POLICE STATION"
976,"SCHOOL"
977,"COLLEGE"
978,"LIBRARY"
979,"HOSPITAL"
980,"WATER TREATMT PLANT"
981,"INCINERATION PLANT"
982,"ARMORY"
983,"CEMETERY"
984,"PUBLIC BEACH"
985,"OTHER EXEMPT BLDG"
986,"VACANT LAND"
987,"VACANT LAND"
988,"HOTEL/CONVENTION CENER"
989,"PASSENGER TERMINAL"
990,"RETAIL CONDO"
991,"OFFICE CONDO"
992,"RESIDENTIAL CONDO"
993,"INDUSTRIAL CONDO"
995,"CONDO MAIN"
999,"PARTIAL EXEMPT ENTITY"
